,Title,Year,Rating
0,Nayakan,(1987),8.5
1,Anbe Sivam,(2003),8.5
2,Pariyerum Perumal,(2018),8.5
3,C/o Kancharapalem,(2018),8.5
4,Golmaal,(1979),8.5
5,Manichitrathazhu,(1993),8.5
6,Kireedam,(1989),8.5
7,Apur Sansar,(1959),8.5
8,Natsamrat,(2016),8.4
9,96,(2018),8.4
10,Pather Panchali,(1955),8.4
11,Kumbalangi Nights,(2019),8.4
12,Thevar Magan,(1992),8.4
13,Black Friday,(2004),8.4
14,Soorarai Pottru,(2020),8.4
15,Visaaranai,(2015),8.4
16,3 Idiots,(2009),8.4
17,Jersey,(2019),8.3
18,Taare Zameen Par,(2007),8.3
19,#Home,(2021),8.3
20,Drishyam 2,(2021),8.3
21,Asuran,(2019),8.3
22,Thalapathi,(1991),8.3
23,Sarpatta Parambarai,(2021),8.3
24,Kaithi,(2019),8.3
25,Dangal,(2016),8.3
26,Devasuram,(1993),8.3
27,Aparajito,(1956),8.3
28,Ratsasan,(2018),8.3
29,Jaane Bhi Do Yaaro,(1983),8.3
30,Pyaasa,(1957),8.3
31,Vada Chennai,(2018),8.3
32,Peranbu,(2018),8.3
33,Guide,(1965),8.3
34,Thani Oruvan,(2015),8.3
35,Kannathil Muthamittal,(2002),8.2
36,Chupke Chupke,(1975),8.2
37,Spadikam,(1995),8.2
38,Agent Sai Srinivasa Athreya,(2019),8.2
39,Iruvar,(1997),8.2
40,Super Deluxe,(2019),8.2
41,Mahanati,(2018),8.2
42,Aruvi,(2016),8.2
43,Drishyam,(2013),8.2
44,Pudhu Pettai,(2006),8.2
45,Khosla Ka Ghosla!,(2006),8.2
46,Vikram Vedha,(2017),8.2
47,Tumbbad,(2018),8.2
48,Premam,(2015),8.2
49,Anniyan,(2005),8.2
50,Kaakkaa Muttai,(2014),8.2
51,Bangalore Days,(2014),8.2
52,Mudhalvan,(1999),8.2
53,Satya,(1998),8.2
54,Angoor,(1982),8.2
55,Anand,(1971),8.2
56,Andhadhun,(2018),8.2
57,Papanasam,(2015),8.2
58,Dhuruvangal Pathinaaru,(2016),8.2
59,Soodhu Kavvum,(2013),8.2
60,Shahid,(2012),8.2
61,Gangs of Wasseypur,(2012),8.2
62,Pithamagan,(2003),8.1
63,Jigarthanda,(2014),8.1
64,Mandela,(2021),8.1
65,Paan Singh Tomar,(2012),8.1
66,Bhaag Milkha Bhaag,(2013),8.1
67,Hera Pheri,(2000),8.1
68,Sairat,(2016),8.1
69,Sholay,(1975),8.1
